Time,V1,V2,Amount,Class
150,-99.8500,112.4500,5500000.00,1
151,-1.4000,0.1000,18.50,0
152,-1.3000,-0.0000,22.00,0
153,-1.2000,-0.1000,25.50,0
154,-1.1000,-0.2000,29.00,0
155,85.3400,-76.2200,6750000.00,1
156,-0.9000,-0.4000,36.00,0
157,-0.8000,-0.5000,39.50,0
158,-0.7000,-0.6000,43.00,0
159,-0.6000,-0.7000,46.50,0
160,-99.8500,112.4500,5500000.00,1
161,-0.4000,1.1000,53.50,0
162,-0.3000,1.0000,57.00,0
163,-0.2000,0.9000,60.50,0
164,-0.1000,0.8000,64.00,0
165,85.3400,-76.2200,6750000.00,1
166,0.1000,0.6000,71.00,0
167,0.2000,0.5000,74.50,0
168,0.3000,0.4000,78.00,0
169,0.4000,0.3000,81.50,0
170,-99.8500,112.4500,5500000.00,1
171,0.6000,0.1000,88.50,0
172,0.7000,-0.0000,92.00,0
173,0.8000,-0.1000,95.50,0
174,0.9000,-0.2000,99.00,0
175,85.3400,-76.2200,6750000.00,1
176,1.1000,-0.4000,106.00,0
177,1.2000,-0.5000,109.50,0
178,1.3000,-0.6000,113.00,0
179,1.4000,-0.7000,116.50,0
180,-99.8500,112.4500,5500000.00,1
181,-1.4000,1.1000,123.50,0
182,-1.3000,1.0000,127.00,0
183,-1.2000,0.9000,130.50,0
184,-1.1000,0.8000,134.00,0
185,85.3400,-76.2200,6750000.00,1
186,-0.9000,0.6000,141.00,0
187,-0.8000,0.5000,144.50,0
188,-0.7000,0.4000,148.00,0
189,-0.6000,0.3000,151.50,0
190,-99.8500,112.4500,5500000.00,1
191,-0.4000,0.1000,158.50,0
192,-0.3000,-0.0000,162.00,0
193,-0.2000,-0.1000,165.50,0
194,-0.1000,-0.2000,169.00,0
195,85.3400,-76.2200,6750000.00,1
196,0.1000,-0.4000,176.00,0
197,0.2000,-0.5000,179.50,0
198,0.3000,-0.6000,183.00,0
199,0.4000,-0.7000,186.50,0
200,-99.8500,112.4500,5500000.00,1
201,0.6000,1.1000,193.50,0
202,0.7000,1.0000,197.00,0
203,0.8000,0.9000,200.50,0
204,0.9000,0.8000,204.00,0
205,85.3400,-76.2200,6750000.00,1
206,1.1000,0.6000,211.00,0
207,1.2000,0.5000,214.50,0
208,1.3000,0.4000,218.00,0
209,1.4000,0.3000,221.50,0
210,-99.8500,112.4500,5500000.00,1
211,-1.4000,0.1000,228.50,0
212,-1.3000,-0.0000,232.00,0
213,-1.2000,-0.1000,235.50,0
214,-1.1000,-0.2000,239.00,0
215,85.3400,-76.2200,6750000.00,1
216,-0.9000,-0.4000,246.00,0
217,-0.8000,-0.5000,249.50,0
218,-0.7000,-0.6000,253.00,0
219,-0.6000,-0.7000,256.50,0
220,-99.8500,112.4500,5500000.00,1
221,-0.4000,1.1000,263.50,0
222,-0.3000,1.0000,267.00,0
223,-0.2000,0.9000,270.50,0
224,-0.1000,0.8000,274.00,0
225,85.3400,-76.2200,6750000.00,1
226,0.1000,0.6000,281.00,0
227,0.2000,0.5000,284.50,0
228,0.3000,0.4000,288.00,0
229,0.4000,0.3000,291.50,0
230,-99.8500,112.4500,5500000.00,1
231,0.6000,0.1000,298.50,0
232,0.7000,-0.0000,302.00,0
233,0.8000,-0.1000,305.50,0
234,0.9000,-0.2000,309.00,0
235,85.3400,-76.2200,6750000.00,1
236,1.1000,-0.4000,316.00,0
237,1.2000,-0.5000,319.50,0
238,1.3000,-0.6000,323.00,0
239,1.4000,-0.7000,326.50,0
240,-99.8500,112.4500,5500000.00,1
241,-1.4000,1.1000,333.50,0
242,-1.3000,1.0000,337.00,0
243,-1.2000,0.9000,340.50,0
244,-1.1000,0.8000,344.00,0
245,85.3400,-76.2200,6750000.00,1
246,-0.9000,0.6000,351.00,0
247,-0.8000,0.5000,354.50,0
248,-0.7000,0.4000,358.00,0
249,-0.6000,0.3000,361.50,0
250,-99.8500,112.4500,5500000.00,1
251,-0.4000,0.1000,368.50,0
252,-0.3000,-0.0000,372.00,0
253,-0.2000,-0.1000,375.50,0
254,-0.1000,-0.2000,379.00,0
255,85.3400,-76.2200,6750000.00,1
256,0.1000,-0.4000,386.00,0
257,0.2000,-0.5000,389.50,0
258,0.3000,-0.6000,393.00,0
259,0.4000,-0.7000,396.50,0
260,-99.8500,112.4500,5500000.00,1
261,0.6000,1.1000,403.50,0
262,0.7000,1.0000,407.00,0
263,0.8000,0.9000,410.50,0
264,0.9000,0.8000,414.00,0
265,85.3400,-76.2200,6750000.00,1
266,1.1000,0.6000,421.00,0
267,1.2000,0.5000,424.50,0
268,1.3000,0.4000,428.00,0
269,1.4000,0.3000,431.50,0
270,-99.8500,112.4500,5500000.00,1
271,-1.4000,0.1000,438.50,0
272,-1.3000,-0.0000,442.00,0
273,-1.2000,-0.1000,445.50,0
274,-1.1000,-0.2000,449.00,0
275,85.3400,-76.2200,6750000.00,1
276,-0.9000,-0.4000,456.00,0
277,-0.8000,-0.5000,459.50,0
278,-0.7000,-0.6000,463.00,0
279,-0.6000,-0.7000,466.50,0
280,-99.8500,112.4500,5500000.00,1
281,-0.4000,1.1000,473.50,0
282,-0.3000,1.0000,477.00,0
283,-0.2000,0.9000,480.50,0
284,-0.1000,0.8000,484.00,0
285,85.3400,-76.2200,6750000.00,1
286,0.1000,0.6000,491.00,0
287,0.2000,0.5000,494.50,0
288,0.3000,0.4000,498.00,0
289,0.4000,0.3000,501.50,0
290,-99.8500,112.4500,5500000.00,1
291,0.6000,0.1000,508.50,0
292,0.7000,-0.0000,512.00,0
293,0.8000,-0.1000,515.50,0
294,0.9000,-0.2000,519.00,0
295,85.3400,-76.2200,6750000.00,1
296,1.1000,-0.4000,526.00,0
297,1.2000,-0.5000,529.50,0
298,1.3000,-0.6000,533.00,0
299,1.4000,-0.7000,536.50,0
300,-99.8500,112.4500,5500000.00,1
301,-1.4000,1.1000,18.50,0
302,-1.3000,1.0000,22.00,0
303,-1.2000,0.9000,25.50,0
304,-1.1000,0.8000,29.00,0
305,85.3400,-76.2200,6750000.00,1
306,-0.9000,0.6000,36.00,0
307,-0.8000,0.5000,39.50,0
308,-0.7000,0.4000,43.00,0
309,-0.6000,0.3000,46.50,0
310,-99.8500,112.4500,5500000.00,1
311,-0.4000,0.1000,53.50,0
312,-0.3000,-0.0000,57.00,0
313,-0.2000,-0.1000,60.50,0
314,-0.1000,-0.2000,64.00,0
315,85.3400,-76.2200,6750000.00,1
316,0.1000,-0.4000,71.00,0
317,0.2000,-0.5000,74.50,0
318,0.3000,-0.6000,78.00,0
319,0.4000,-0.7000,81.50,0
320,-99.8500,112.4500,5500000.00,1
321,0.6000,1.1000,88.50,0
322,0.7000,1.0000,92.00,0
323,0.8000,0.9000,95.50,0
324,0.9000,0.8000,99.00,0
325,85.3400,-76.2200,6750000.00,1
326,1.1000,0.6000,106.00,0
327,1.2000,0.5000,109.50,0
328,1.3000,0.4000,113.00,0
329,1.4000,0.3000,116.50,0
330,-99.8500,112.4500,5500000.00,1
331,-1.4000,0.1000,123.50,0
332,-1.3000,-0.0000,127.00,0
333,-1.2000,-0.1000,130.50,0
334,-1.1000,-0.2000,134.00,0
335,85.3400,-76.2200,6750000.00,1
336,-0.9000,-0.4000,141.00,0
337,-0.8000,-0.5000,144.50,0
338,-0.7000,-0.6000,148.00,0
339,-0.6000,-0.7000,151.50,0
340,-99.8500,112.4500,5500000.00,1
341,-0.4000,1.1000,158.50,0
342,-0.3000,1.0000,162.00,0
343,-0.2000,0.9000,165.50,0
344,-0.1000,0.8000,169.00,0
345,85.3400,-76.2200,6750000.00,1
346,0.1000,0.6000,176.00,0
347,0.2000,0.5000,179.50,0
348,0.3000,0.4000,183.00,0
349,0.4000,0.3000,186.50,0
350,-99.8500,112.4500,5500000.00,1
351,0.6000,0.1000,193.50,0
352,0.7000,-0.0000,197.00,0
353,0.8000,-0.1000,200.50,0
354,0.9000,-0.2000,204.00,0
355,85.3400,-76.2200,6750000.00,1
356,1.1000,-0.4000,211.00,0
357,1.2000,-0.5000,214.50,0
358,1.3000,-0.6000,218.00,0
359,1.4000,-0.7000,221.50,0
360,-99.8500,112.4500,5500000.00,1
361,-1.4000,1.1000,228.50,0
362,-1.3000,1.0000,232.00,0
363,-1.2000,0.9000,235.50,0
364,-1.1000,0.8000,239.00,0
365,85.3400,-76.2200,6750000.00,1
366,-0.9000,0.6000,246.00,0
367,-0.8000,0.5000,249.50,0
368,-0.7000,0.4000,253.00,0
369,-0.6000,0.3000,256.50,0
370,-99.8500,112.4500,5500000.00,1
371,-0.4000,0.1000,263.50,0
372,-0.3000,-0.0000,267.00,0
373,-0.2000,-0.1000,270.50,0
374,-0.1000,-0.2000,274.00,0
375,85.3400,-76.2200,6750000.00,1
376,0.1000,-0.4000,281.00,0
377,0.2000,-0.5000,284.50,0
378,0.3000,-0.6000,288.00,0
379,0.4000,-0.7000,291.50,0
380,-99.8500,112.4500,5500000.00,1
381,0.6000,1.1000,298.50,0
382,0.7000,1.0000,302.00,0
383,0.8000,0.9000,305.50,0
384,0.9000,0.8000,309.00,0
385,85.3400,-76.2200,6750000.00,1
386,1.1000,0.6000,316.00,0
387,1.2000,0.5000,319.50,0
388,1.3000,0.4000,323.00,0
389,1.4000,0.3000,326.50,0
390,-99.8500,112.4500,5500000.00,1
391,-1.4000,0.1000,333.50,0
392,-1.3000,-0.0000,337.00,0
393,-1.2000,-0.1000,340.50,0
394,-1.1000,-0.2000,344.00,0
395,85.3400,-76.2200,6750000.00,1
396,-0.9000,-0.4000,351.00,0
397,-0.8000,-0.5000,354.50,0
398,-0.7000,-0.6000,358.00,0
399,-0.6000,-0.7000,361.50,0
400,-99.8500,112.4500,5500000.00,1
401,-0.4000,1.1000,368.50,0
402,-0.3000,1.0000,372.00,0
403,-0.2000,0.9000,375.50,0
404,-0.1000,0.8000,379.00,0
405,85.3400,-76.2200,6750000.00,1
406,0.1000,0.6000,386.00,0
407,0.2000,0.5000,389.50,0
408,0.3000,0.4000,393.00,0
409,0.4000,0.3000,396.50,0
410,-99.8500,112.4500,5500000.00,1
411,0.6000,0.1000,403.50,0
412,0.7000,-0.0000,407.00,0
413,0.8000,-0.1000,410.50,0
414,0.9000,-0.2000,414.00,0
415,85.3400,-76.2200,6750000.00,1
416,1.1000,-0.4000,421.00,0
417,1.2000,-0.5000,424.50,0
418,1.3000,-0.6000,428.00,0
419,1.4000,-0.7000,431.50,0
420,-99.8500,112.4500,5500000.00,1
421,-1.4000,1.1000,438.50,0
422,-1.3000,1.0000,442.00,0
423,-1.2000,0.9000,445.50,0
424,-1.1000,0.8000,449.00,0
425,85.3400,-76.2200,6750000.00,1
426,-0.9000,0.6000,456.00,0
427,-0.8000,0.5000,459.50,0
428,-0.7000,0.4000,463.00,0
429,-0.6000,0.3000,466.50,0
430,-99.8500,112.4500,5500000.00,1
431,-0.4000,0.1000,473.50,0
432,-0.3000,-0.0000,477.00,0
433,-0.2000,-0.1000,480.50,0
434,-0.1000,-0.2000,484.00,0
435,85.3400,-76.2200,6750000.00,1
436,0.1000,-0.4000,491.00,0
437,0.2000,-0.5000,494.50,0
438,0.3000,-0.6000,498.00,0
439,0.4000,-0.7000,501.50,0
440,-99.8500,112.4500,5500000.00,1
441,0.6000,1.1000,508.50,0
442,0.7000,1.0000,512.00,0
443,0.8000,0.9000,515.50,0
444,0.9000,0.8000,519.00,0
445,85.3400,-76.2200,6750000.00,1
446,1.1000,0.6000,526.00,0
447,1.2000,0.5000,529.50,0
448,1.3000,0.4000,533.00,0
449,1.4000,0.3000,536.50,0
450,-99.8500,112.4500,5500000.00,1
451,-1.4000,0.1000,18.50,0
452,-1.3000,-0.0000,22.00,0
453,-1.2000,-0.1000,25.50,0
454,-1.1000,-0.2000,29.00,0
455,85.3400,-76.2200,6750000.00,1
456,-0.9000,-0.4000,36.00,0
457,-0.8000,-0.5000,39.50,0
458,-0.7000,-0.6000,43.00,0
459,-0.6000,-0.7000,46.50,0
460,-99.8500,112.4500,5500000.00,1
461,-0.4000,1.1000,53.50,0
462,-0.3000,1.0000,57.00,0
463,-0.2000,0.9000,60.50,0
464,-0.1000,0.8000,64.00,0
465,85.3400,-76.2200,6750000.00,1
466,0.1000,0.6000,71.00,0
467,0.2000,0.5000,74.50,0
468,0.3000,0.4000,78.00,0
469,0.4000,0.3000,81.50,0
470,-99.8500,112.4500,5500000.00,1
471,0.6000,0.1000,88.50,0
472,0.7000,-0.0000,92.00,0
473,0.8000,-0.1000,95.50,0
474,0.9000,-0.2000,99.00,0
475,85.3400,-76.2200,6750000.00,1
476,1.1000,-0.4000,106.00,0
477,1.2000,-0.5000,109.50,0
478,1.3000,-0.6000,113.00,0
479,1.4000,-0.7000,116.50,0
480,-99.8500,112.4500,5500000.00,1
481,-1.4000,1.1000,123.50,0
482,-1.3000,1.0000,127.00,0
483,-1.2000,0.9000,130.50,0
484,-1.1000,0.8000,134.00,0
485,85.3400,-76.2200,6750000.00,1
486,-0.9000,0.6000,141.00,0
487,-0.8000,0.5000,144.50,0
488,-0.7000,0.4000,148.00,0
489,-0.6000,0.3000,151.50,0
490,-99.8500,112.4500,5500000.00,1
491,-0.4000,0.1000,158.50,0
492,-0.3000,-0.0000,162.00,0
493,-0.2000,-0.1000,165.50,0
494,-0.1000,-0.2000,169.00,0
495,85.3400,-76.2200,6750000.00,1
496,0.1000,-0.4000,176.00,0
497,0.2000,-0.5000,179.50,0
498,0.3000,-0.6000,183.00,0
499,0.4000,-0.7000,186.50,0
500,-99.8500,112.4500,5500000.00,1
501,0.6000,1.1000,193.50,0
502,0.7000,1.0000,197.00,0
503,0.8000,0.9000,200.50,0
504,0.9000,0.8000,204.00,0
505,85.3400,-76.2200,6750000.00,1
506,1.1000,0.6000,211.00,0
507,1.2000,0.5000,214.50,0
508,1.3000,0.4000,218.00,0
509,1.4000,0.3000,221.50,0
510,-99.8500,112.4500,5500000.00,1
511,-1.4000,0.1000,228.50,0
512,-1.3000,-0.0000,232.00,0
513,-1.2000,-0.1000,235.50,0
514,-1.1000,-0.2000,239.00,0
515,85.3400,-76.2200,6750000.00,1
516,-0.9000,-0.4000,246.00,0
517,-0.8000,-0.5000,249.50,0
518,-0.7000,-0.6000,253.00,0
519,-0.6000,-0.7000,256.50,0
520,-99.8500,112.4500,5500000.00,1
521,-0.4000,1.1000,263.50,0
522,-0.3000,1.0000,267.00,0
523,-0.2000,0.9000,270.50,0
524,-0.1000,0.8000,274.00,0
525,85.3400,-76.2200,6750000.00,1
526,0.1000,0.6000,281.00,0
527,0.2000,0.5000,284.50,0
528,0.3000,0.4000,288.00,0
529,0.4000,0.3000,291.50,0
530,-99.8500,112.4500,5500000.00,1
531,0.6000,0.1000,298.50,0
532,0.7000,-0.0000,302.00,0
533,0.8000,-0.1000,305.50,0
534,0.9000,-0.2000,309.00,0
535,85.3400,-76.2200,6750000.00,1
536,1.1000,-0.4000,316.00,0
537,1.2000,-0.5000,319.50,0
538,1.3000,-0.6000,323.00,0
539,1.4000,-0.7000,326.50,0
540,-99.8500,112.4500,5500000.00,1
541,-1.4000,1.1000,333.50,0
542,-1.3000,1.0000,337.00,0
543,-1.2000,0.9000,340.50,0
544,-1.1000,0.8000,344.00,0
545,85.3400,-76.2200,6750000.00,1
546,-0.9000,0.6000,351.00,0
547,-0.8000,0.5000,354.50,0
548,-0.7000,0.4000,358.00,0
549,-0.6000,0.3000,361.50,0
550,-99.8500,112.4500,5500000.00,1
551,-0.4000,0.1000,368.50,0
552,-0.3000,-0.0000,372.00,0
553,-0.2000,-0.1000,375.50,0
554,-0.1000,-0.2000,379.00,0
555,85.3400,-76.2200,6750000.00,1
556,0.1000,-0.4000,386.00,0
557,0.2000,-0.5000,389.50,0
558,0.3000,-0.6000,393.00,0
559,0.4000,-0.7000,396.50,0
560,-99.8500,112.4500,5500000.00,1
561,0.6000,1.1000,403.50,0
562,0.7000,1.0000,407.00,0
563,0.8000,0.9000,410.50,0
564,0.9000,0.8000,414.00,0
565,85.3400,-76.2200,6750000.00,1
566,1.1000,0.6000,421.00,0
567,1.2000,0.5000,424.50,0
568,1.3000,0.4000,428.00,0
569,1.4000,0.3000,431.50,0
570,-99.8500,112.4500,5500000.00,1
571,-1.4000,0.1000,438.50,0
572,-1.3000,-0.0000,442.00,0
573,-1.2000,-0.1000,445.50,0
574,-1.1000,-0.2000,449.00,0
575,85.3400,-76.2200,6750000.00,1
576,-0.9000,-0.4000,456.00,0
577,-0.8000,-0.5000,459.50,0
578,-0.7000,-0.6000,463.00,0
579,-0.6000,-0.7000,466.50,0
580,-99.8500,112.4500,5500000.00,1
581,-0.4000,1.1000,473.50,0
582,-0.3000,1.0000,477.00,0
583,-0.2000,0.9000,480.50,0
584,-0.1000,0.8000,484.00,0
585,85.3400,-76.2200,6750000.00,1
586,0.1000,0.6000,491.00,0
587,0.2000,0.5000,494.50,0
588,0.3000,0.4000,498.00,0
589,0.4000,0.3000,501.50,0
590,-99.8500,112.4500,5500000.00,1
591,0.6000,0.1000,508.50,0
592,0.7000,-0.0000,512.00,0
593,0.8000,-0.1000,515.50,0
594,0.9000,-0.2000,519.00,0
595,85.3400,-76.2200,6750000.00,1
596,1.1000,-0.4000,526.00,0
597,1.2000,-0.5000,529.50,0
598,1.3000,-0.6000,533.00,0
599,1.4000,-0.7000,536.50,0
600,-99.8500,112.4500,5500000.00,1
601,-1.4000,1.1000,18.50,0
602,-1.3000,1.0000,22.00,0
603,-1.2000,0.9000,25.50,0
604,-1.1000,0.8000,29.00,0
605,85.3400,-76.2200,6750000.00,1
606,-0.9000,0.6000,36.00,0
607,-0.8000,0.5000,39.50,0
608,-0.7000,0.4000,43.00,0
609,-0.6000,0.3000,46.50,0
610,-99.8500,112.4500,5500000.00,1
611,-0.4000,0.1000,53.50,0
612,-0.3000,-0.0000,57.00,0
613,-0.2000,-0.1000,60.50,0
614,-0.1000,-0.2000,64.00,0
615,85.3400,-76.2200,6750000.00,1
616,0.1000,-0.4000,71.00,0
617,0.2000,-0.5000,74.50,0
618,0.3000,-0.6000,78.00,0
619,0.4000,-0.7000,81.50,0
620,-99.8500,112.4500,5500000.00,1
621,0.6000,1.1000,88.50,0
622,0.7000,1.0000,92.00,0
623,0.8000,0.9000,95.50,0
624,0.9000,0.8000,99.00,0
625,85.3400,-76.2200,6750000.00,1
626,1.1000,0.6000,106.00,0
627,1.2000,0.5000,109.50,0
628,1.3000,0.4000,113.00,0
629,1.4000,0.3000,116.50,0
630,-99.8500,112.4500,5500000.00,1
631,-1.4000,0.1000,123.50,0
632,-1.3000,-0.0000,127.00,0
633,-1.2000,-0.1000,130.50,0
634,-1.1000,-0.2000,134.00,0
635,85.3400,-76.2200,6750000.00,1
636,-0.9000,-0.4000,141.00,0
637,-0.8000,-0.5000,144.50,0
638,-0.7000,-0.6000,148.00,0
639,-0.6000,-0.7000,151.50,0
640,-99.8500,112.4500,5500000.00,1
641,-0.4000,1.1000,158.50,0
642,-0.3000,1.0000,162.00,0
643,-0.2000,0.9000,165.50,0
644,-0.1000,0.8000,169.00,0
645,85.3400,-76.2200,6750000.00,1
646,0.1000,0.6000,176.00,0
647,0.2000,0.5000,179.50,0
648,0.3000,0.4000,183.00,0
649,0.4000,0.3000,186.50,0
650,-99.8500,112.4500,5500000.00,1
651,0.6000,0.1000,193.50,0
652,0.7000,-0.0000,197.00,0
653,0.8000,-0.1000,200.50,0
654,0.9000,-0.2000,204.00,0
655,85.3400,-76.2200,6750000.00,1
656,1.1000,-0.4000,211.00,0
657,1.2000,-0.5000,214.50,0
658,1.3000,-0.6000,218.00,0
659,1.4000,-0.7000,221.50,0
660,-99.8500,112.4500,5500000.00,1
661,-1.4000,1.1000,228.50,0
662,-1.3000,1.0000,232.00,0
663,-1.2000,0.9000,235.50,0
664,-1.1000,0.8000,239.00,0
665,85.3400,-76.2200,6750000.00,1
666,-0.9000,0.6000,246.00,0
667,-0.8000,0.5000,249.50,0
668,-0.7000,0.4000,253.00,0
669,-0.6000,0.3000,256.50,0
670,-99.8500,112.4500,5500000.00,1
671,-0.4000,0.1000,263.50,0
672,-0.3000,-0.0000,267.00,0
673,-0.2000,-0.1000,270.50,0
674,-0.1000,-0.2000,274.00,0
675,85.3400,-76.2200,6750000.00,1
676,0.1000,-0.4000,281.00,0
677,0.2000,-0.5000,284.50,0
678,0.3000,-0.6000,288.00,0
679,0.4000,-0.7000,291.50,0
680,-99.8500,112.4500,5500000.00,1
681,0.6000,1.1000,298.50,0
682,0.7000,1.0000,302.00,0
683,0.8000,0.9000,305.50,0
684,0.9000,0.8000,309.00,0
685,85.3400,-76.2200,6750000.00,1
686,1.1000,0.6000,316.00,0
687,1.2000,0.5000,319.50,0
688,1.3000,0.4000,323.00,0
689,1.4000,0.3000,326.50,0
690,-99.8500,112.4500,5500000.00,1
691,-1.4000,0.1000,333.50,0
692,-1.3000,-0.0000,337.00,0
693,-1.2000,-0.1000,340.50,0
694,-1.1000,-0.2000,344.00,0
695,85.3400,-76.2200,6750000.00,1
696,-0.9000,-0.4000,351.00,0
697,-0.8000,-0.5000,354.50,0
698,-0.7000,-0.6000,358.00,0
699,-0.6000,-0.7000,361.50,0
700,-99.8500,112.4500,5500000.00,1
701,-0.4000,1.1000,368.50,0
702,-0.3000,1.0000,372.00,0
703,-0.2000,0.9000,375.50,0
704,-0.1000,0.8000,379.00,0
705,85.3400,-76.2200,6750000.00,1
706,0.1000,0.6000,386.00,0
707,0.2000,0.5000,389.50,0
708,0.3000,0.4000,393.00,0
709,0.4000,0.3000,396.50,0
710,-99.8500,112.4500,5500000.00,1
711,0.6000,0.1000,403.50,0
712,0.7000,-0.0000,407.00,0
713,0.8000,-0.1000,410.50,0
714,0.9000,-0.2000,414.00,0
715,85.3400,-76.2200,6750000.00,1
716,1.1000,-0.4000,421.00,0
717,1.2000,-0.5000,424.50,0
718,1.3000,-0.6000,428.00,0
719,1.4000,-0.7000,431.50,0
720,-99.8500,112.4500,5500000.00,1
